time,q1,q2,q1_dot,q2_dot
0.8200,0.31417444,0.41478094,0.30363941,-0.19740162
0.8300,0.31719683,0.41279742,0.30083526,-0.19930065
0.8400,0.32019105,0.41079499,0.29800440,-0.20118197
0.8500,0.32315683,0.40877384,0.29514706,-0.20304543
0.8600,0.32609391,0.40673414,0.29226351,-0.20489085
0.8700,0.32900202,0.40467608,0.28935400,-0.20671806
0.8800,0.33188090,0.40259984,0.28641878,-0.20852692
0.8900,0.33473031,0.40050561,0.28345812,-0.21031726
0.9000,0.33754998,0.39839356,0.28047229,-0.21208891
0.9100,0.34033967,0.39626389,0.27746154,-0.21384172
0.9200,0.34309913,0.39411679,0.27442614,-0.21557554
0.9300,0.34582811,0.39195244,0.27136637,-0.21729021
0.9400,0.34852638,0.38977105,0.26828250,-0.21898558
0.9500,0.35119368,0.38757280,0.26517479,-0.22066150
0.9600,0.35382979,0.38535788,0.26204353,-0.22231782
0.9700,0.35643448,0.38312651,0.25888900,-0.22395439
0.9800,0.35900750,0.38087886,0.25571147,-0.22557106
0.9900,0.36154863,0.37861515,0.25251122,-0.22716770
1.0000,0.36405765,0.37633558,0.24928855,-0.22874417
1.0100,0.36653433,0.37404034,0.24604373,-0.23030031
1.0200,0.36897845,0.37172964,0.24277706,-0.23183600
1.0300,0.37138980,0.36940369,0.23948882,-0.23335109
1.0400,0.37376815,0.36706268,0.23617931,-0.23484546
1.0500,0.37611331,0.36470685,0.23284882,-0.23631896
1.0600,0.37842506,0.36233638,0.22949764,-0.23777148
1.0700,0.38070320,0.35995149,0.22612609,-0.23920287
1.0800,0.38294752,0.35755239,0.22273444,-0.24061302
1.0900,0.38515782,0.35513930,0.21932301,-0.24200180
1.1000,0.38733391,0.35271242,0.21589210,-0.24336907
1.1100,0.38947560,0.35027199,0.21244202,-0.24471474
1.1200,0.39158269,0.34781820,0.20897306,-0.24603866
1.1300,0.39365500,0.34535129,0.20548554,-0.24734073
1.1400,0.39569234,0.34287146,0.20197977,-0.24862083
1.1500,0.39769453,0.34037894,0.19845606,-0.24987884
1.1600,0.39966140,0.33787396,0.19491472,-0.25111466
1.1700,0.40159277,0.33535673,0.19135606,-0.25232818
1.1800,0.40348847,0.33282747,0.18778041,-0.25351928
1.1900,0.40534832,0.33028641,0.18418808,-0.25468786
1.2000,0.40717217,0.32773379,0.18057939,-0.25583382
1.2100,0.40895986,0.32516981,0.17695466,-0.25695706
1.2200,0.41071121,0.32259472,0.17331421,-0.25805747
1.2300,0.41242609,0.32000874,0.16965836,-0.25913495
1.2400,0.41410433,0.31741210,0.16598745,-0.26018943
1.2500,0.41574579,0.31480503,0.16230179,-0.26122078
1.2600,0.41735032,0.31218776,0.15860171,-0.26222894
1.2700,0.41891778,0.30956053,0.15488755,-0.26321380
1.2800,0.42044802,0.30692356,0.15115963,-0.26417528
1.2900,0.42194092,0.30427710,0.14741828,-0.26511330
1.3000,0.42339635,0.30162138,0.14366384,-0.26602777
1.3100,0.42481416,0.29895662,0.13989663,-0.26691861
1.3200,0.42619424,0.29628308,0.13611700,-0.26778574
1.3300,0.42753646,0.29360099,0.13232528,-0.26862908
1.3400,0.42884070,0.29091058,0.12852181,-0.26944856
1.3500,0.43010686,0.28821210,0.12470691,-0.27024411
1.3600,0.43133481,0.28550578,0.12088095,-0.27101565
1.3700,0.43252444,0.28279186,0.11704424,-0.27176312
1.3800,0.43367566,0.28007060,0.11319714,-0.27248645
1.3900,0.43478835,0.27734222,0.10933998,-0.27318558
1.4000,0.43586242,0.27460697,0.10547311,-0.27386044
1.4100,0.43689778,0.27186509,0.10159688,-0.27451097
1.4200,0.43789433,0.26911683,0.09771161,-0.27513712
1.4300,0.43885198,0.26636243,0.09381767,-0.27573883
1.4400,0.43977066,0.26360213,0.08991540,-0.27631605
1.4500,0.44065026,0.26083619,0.08600514,-0.27686873
1.4600,0.44149073,0.25806484,0.08208723,-0.27739681
1.4700,0.44229199,0.25528833,0.07816204,-0.27790025
1.4800,0.44305395,0.25250692,0.07422991,-0.27837901
1.4900,0.44377656,0.24972084,0.07029118,-0.27883304
1.5000,0.44445975,0.24693034,0.06634620,-0.27926230
1.5100,0.44510347,0.24413567,0.06239534,-0.27966676
1.5200,0.44570764,0.24133709,0.05843893,-0.28004637
1.5300,0.44627223,0.23853483,0.05447733,-0.28040111
1.5400,0.44679717,0.23572915,0.05051089,-0.28073094
1.5500,0.44728243,0.23292029,0.04653997,-0.28103584
1.5600,0.44772796,0.23010851,0.04256491,-0.28131577
1.5700,0.44813372,0.22729406,0.03858607,-0.28157072
1.5800,0.44849967,0.22447718,0.03460380,-0.28180065
1.5900,0.44882578,0.22165813,0.03061846,-0.28200556
1.6000,0.44911203,0.21883716,0.02663040,-0.28218541
1.6100,0.44935838,0.21601451,0.02263998,-0.28234020
1.6200,0.44956482,0.21319044,0.01864754,-0.28246991
1.6300,0.44973133,0.21036519,0.01465345,-0.28257453
1.6400,0.44985789,0.20753903,0.01065805,-0.28265405
1.6500,0.44994448,0.20471220,0.00666171,-0.28270846
1.6600,0.44999112,0.20188494,0.00266478,-0.28273776
1.6700,0.44999778,0.19905752,-0.00133239,-0.28274194
1.6800,0.44996447,0.19623019,-0.00532945,-0.28272101
1.6900,0.44989119,0.19340319,-0.00932602,-0.28267497
1.7000,0.44977795,0.19057677,-0.01332177,-0.28260382
1.7100,0.44962476,0.18775119,-0.01731634,-0.28250757
1.7200,0.44943163,0.18492670,-0.02130937,-0.28238622
1.7300,0.44919858,0.18210355,-0.02530051,-0.28223979
1.7400,0.44892563,0.17928199,-0.02928939,-0.28206829
1.7500,0.44861280,0.17646227,-0.03327568,-0.28187174
1.7600,0.44826012,0.17364464,-0.03725901,-0.28165014
1.7700,0.44786763,0.17082935,-0.04123903,-0.28140353
1.7800,0.44743536,0.16801665,-0.04521539,-0.28113193
1.7900,0.44696334,0.16520680,-0.04918773,-0.28083535
1.8000,0.44645162,0.16240003,-0.05315571,-0.28051382
1.8100,0.44590024,0.15959660,-0.05711896,-0.28016738
1.8200,0.44530925,0.15679677,-0.06107713,-0.27979606
1.8300,0.44467871,0.15400076,-0.06502989,-0.27939988
1.8400,0.44400867,0.15120885,-0.06897686,-0.27897888
1.8500,0.44329920,0.14842127,-0.07291771,-0.27853310
1.8600,0.44255034,0.14563827,-0.07685208,-0.27806258
1.8700,0.44176218,0.14286010,-0.08077963,-0.27756736
1.8800,0.44093477,0.14008701,-0.08470000,-0.27704749
1.8900,0.44006820,0.13731923,-0.08861285,-0.27650301
1.9000,0.43916254,0.13455703,-0.09251782,-0.27593396
1.9100,0.43821787,0.13180064,-0.09641458,-0.27534041
1.9200,0.43723428,0.12905030,-0.10030277,-0.27472240
1.9300,0.43621185,0.12630627,-0.10418206,-0.27407999
1.9400,0.43515067,0.12356878,-0.10805209,-0.27341323
1.9500,0.43405084,0.12083809,-0.11191252,-0.27272218
1.9600,0.43291245,0.11811442,-0.11576301,-0.27200692
1.9700,0.43173561,0.11539803,-0.11960322,-0.27126749
1.9800,0.43052042,0.11268915,-0.12343281,-0.27050396
1.9900,0.42926699,0.10998803,-0.12725143,-0.26971641
2.0000,0.42797543,0.10729490,-0.13105875,-0.26890489
2.0100,0.42664586,0.10461001,-0.13485442,-0.26806950
2.0200,0.42527838,0.10193359,-0.13863812,-0.26721029
2.0300,0.42387314,0.09926588,-0.14240950,-0.26632735
2.0400,0.42243024,0.09660712,-0.14616824,-0.26542075
2.0500,0.42094981,0.09395755,-0.14991399,-0.26449057
2.0600,0.41943200,0.09131739,-0.15364642,-0.26353690
2.0700,0.41787693,0.08868689,-0.15736521,-0.26255982
2.0800,0.41628474,0.08606627,-0.16107001,-0.26155942
2.0900,0.41465558,0.08345578,-0.16476052,-0.26053578
2.1000,0.41298958,0.08085563,-0.16843638,-0.25948901
2.1100,0.41128690,0.07826607,-0.17209729,-0.25841918
2.1200,0.40954769,0.07568733,-0.17574290,-0.25732640
2.1300,0.40777209,0.07311962,-0.17937291,-0.25621076
2.1400,0.40596028,0.07056319,-0.18298698,-0.25507237
2.1500,0.40411241,0.06801825,-0.18658480,-0.25391132
2.1600,0.40222864,0.06548504,-0.19016605,-0.25272771
2.1700,0.40030914,0.06296377,-0.19373041,-0.25152165
2.1800,0.39835409,0.06045468,-0.19727755,-0.25029326
2.1900,0.39636365,0.05795798,-0.20080718,-0.24904263
2.2000,0.39433801,0.05547390,-0.20431896,-0.24776988
2.2100,0.39227733,0.05300265,-0.20781260,-0.24647512
2.2200,0.39018182,0.05054447,-0.21128778,-0.24515847
2.2300,0.38805164,0.04809956,-0.21474419,-0.24382004
2.2400,0.38588700,0.04566814,-0.21818153,-0.24245995
2.2500,0.38368807,0.04325043,-0.22159948,-0.24107833
2.2600,0.38145507,0.04084664,-0.22499776,-0.23967529
2.2700,0.37918819,0.03845700,-0.22837604,-0.23825096
2.2800,0.37688762,0.03608170,-0.23173404,-0.23680547
2.2900,0.37455357,0.03372096,-0.23507146,-0.23533895
2.3000,0.37218626,0.03137499,-0.23838800,-0.23385152
2.3100,0.36978588,0.02904400,-0.24168336,-0.23234332
2.3200,0.36735266,0.02672819,-0.24495725,-0.23081449
2.3300,0.36488681,0.02442777,-0.24820939,-0.22926515
2.3400,0.36238855,0.02214295,-0.25143948,-0.22769544
2.3500,0.35985810,0.01987393,-0.25464723,-0.22610551
2.3600,0.35729568,0.01762091,-0.25783236,-0.22449550
2.3700,0.35470153,0.01538409,-0.26099460,-0.22286554
2.3800,0.35207586,0.01316367,-0.26413364,-0.22121579
2.3900,0.34941893,0.01095984,-0.26724923,-0.21954639
2.4000,0.34673096,0.00877280,-0.27034108,-0.21785749
2.4100,0.34401219,0.00660275,-0.27340892,-0.21614923
2.4200,0.34126286,0.00444988,-0.27645247,-0.21442178
2.4300,0.33848322,0.00231438,-0.27947146,-0.21267528
2.4400,0.33567352,0.00019644,-0.28246563,-0.21090989
2.4500,0.33283399,-0.00190375,-0.28543471,-0.20912577
2.4600,0.32996491,-0.00398601,-0.28837843,-0.20732306
2.4700,0.32706651,-0.00605015,-0.29129654,-0.20550195
2.4800,0.32413906,-0.00809599,-0.29418878,-0.20366258
2.4900,0.32118282,-0.01012335,-0.29705488,-0.20180512
2.5000,0.31819805,-0.01213203,-0.29989460,-0.19992973
2.5100,0.31518502,-0.01412188,-0.30270768,-0.19803659
2.5200,0.31214399,-0.01609271,-0.30549387,-0.19612585
2.5300,0.30907523,-0.01804434,-0.30825292,-0.19419769
2.5400,0.30597902,-0.01997660,-0.31098460,-0.19225229
2.5500,0.30285563,-0.02188933,-0.31368865,-0.19028981
2.5600,0.29970534,-0.02378234,-0.31636484,-0.18831042
2.5700,0.29652843,-0.02565548,-0.31901292,-0.18631431
2.5800,0.29332518,-0.02750857,-0.32163267,-0.18430164
2.5900,0.29009587,-0.02934146,-0.32422385,-0.18227261
2.6000,0.28684080,-0.03115397,-0.32678623,-0.18022739
2.6100,0.28356024,-0.03294595,-0.32931958,-0.17816615
2.6200,0.28025450,-0.03471724,-0.33182369,-0.17608910
2.6300,0.27692387,-0.03646768,-0.33429831,-0.17399640
2.6400,0.27356863,-0.03819712,-0.33674324,-0.17188824
2.6500,0.27018910,-0.03990540,-0.33915827,-0.16976482
2.6600,0.26678557,-0.04159237,-0.34154316,-0.16762632
2.6700,0.26335834,-0.04325787,-0.34389772,-0.16547292
2.6800,0.25990772,-0.04490178,-0.34622173,-0.16330483
2.6900,0.25643401,-0.04652392,-0.34851498,-0.16112224
2.7000,0.25293752,-0.04812417,-0.35077728,-0.15892533
2.7100,0.24941857,-0.04970238,-0.35300843,-0.15671431
2.7200,0.24587746,-0.05125841,-0.35520821,-0.15448936
2.7300,0.24231451,-0.05279212,-0.35737645,-0.15225069
2.7400,0.23873003,-0.05430338,-0.35951293,-0.14999850
2.7500,0.23512435,-0.05579205,-0.36161749,-0.14773299
2.7600,0.23149779,-0.05725800,-0.36368992,-0.14545435
2.7700,0.22785066,-0.05870109,-0.36573005,-0.14316279
2.7800,0.22418330,-0.06012121,-0.36773770,-0.14085852
2.7900,0.22049602,-0.06151822,-0.36971268,-0.13854173
2.8000,0.21678915,-0.06289200,-0.37165481,-0.13621264
2.8100,0.21306303,-0.06424243,-0.37356394,-0.13387145
2.8200,0.20931799,-0.06556939,-0.37543988,-0.13151837
2.8300,0.20555435,-0.06687276,-0.37728248,-0.12915360
2.8400,0.20177245,-0.06815243,-0.37909156,-0.12677737
2.8500,0.19797263,-0.06940827,-0.38086697,-0.12438987
2.8600,0.19415522,-0.07064019,-0.38260855,-0.12199132
2.8700,0.19032057,-0.07184806,-0.38431615,-0.11958194
2.8800,0.18646901,-0.07303179,-0.38598960,-0.11716194
2.8900,0.18260089,-0.07419127,-0.38762877,-0.11473152
2.9000,0.17871655,-0.07532639,-0.38923351,-0.11229092
2.9100,0.17481634,-0.07643705,-0.39080368,-0.10984034
2.9200,0.17090059,-0.07752316,-0.39233913,-0.10738001
2.9300,0.16696967,-0.07858462,-0.39383973,-0.10491014
2.9400,0.16302392,-0.07962133,-0.39530535,-0.10243095
2.9500,0.15906368,-0.08063321,-0.39673585,-0.09994266
2.9600,0.15508932,-0.08162016,-0.39813112,-0.09744549
2.9700,0.15110118,-0.08258209,-0.39949102,-0.09493967
2.9800,0.14709961,-0.08351892,-0.40081543,-0.09242541
2.9900,0.14308499,-0.08443057,-0.40210425,-0.08990295
3.0000,0.13905765,-0.08531695,-0.40335734,-0.08737250
3.0100,0.13501796,-0.08617800,-0.40457461,-0.08483428
3.0200,0.13096628,-0.08701362,-0.40575594,-0.08228854
3.0300,0.12690296,-0.08782374,-0.40690123,-0.07973548
3.0400,0.12282837,-0.08860830,-0.40801037,-0.07717534
3.0500,0.11874287,-0.08936723,-0.40908328,-0.07460835
3.0600,0.11464683,-0.09010045,-0.41011984,-0.07203473
3.0700,0.11054060,-0.09080790,-0.41111998,-0.06945471
3.0800,0.10642455,-0.09148952,-0.41208360,-0.06686852
3.0900,0.10229905,-0.09214525,-0.41301062,-0.06427639
3.1000,0.09816446,-0.09277503,-0.41390095,-0.06167855
3.1100,0.09402115,-0.09337880,-0.41475451,-0.05907523
3.1200,0.08986949,-0.09395652,-0.41557123,-0.05646667
3.1300,0.08570985,-0.09450812,-0.41635104,-0.05385309
3.1400,0.08154259,-0.09503356,-0.41709387,-0.05123472
3.1500,0.07736810,-0.09553280,-0.41779965,-0.04861181
3.1600,0.07318672,-0.09600578,-0.41846832,-0.04598458
3.1700,0.06899885,-0.09645248,-0.41909981,-0.04335326
3.1800,0.06480485,-0.09687284,-0.41969408,-0.04071809
3.1900,0.06060510,-0.09726683,-0.42025107,-0.03807930
3.2000,0.05639996,-0.09763441,-0.42077073,-0.03543714
3.2100,0.05218981,-0.09797556,-0.42125302,-0.03279182
3.2200,0.04797502,-0.09829024,-0.42169789,-0.03014359
3.2300,0.04375597,-0.09857842,-0.42210530,-0.02749269
3.2400,0.03953304,-0.09884008,-0.42247521,-0.02483934
3.2500,0.03530659,-0.09907520,-0.42280760,-0.02218379
3.2600,0.03107701,-0.09928375,-0.42310244,-0.01952626
3.2700,0.02684467,-0.09946572,-0.42335969,-0.01686700
3.2800,0.02260994,-0.09962109,-0.42357933,-0.01420625
3.2900,0.01837321,-0.09974984,-0.42376135,-0.01154423
3.3000,0.01413484,-0.09985197,-0.42390573,-0.00888118
3.3100,0.00989522,-0.09992746,-0.42401246,-0.00621735
3.3200,0.00565472,-0.09997631,-0.42408152,-0.00355296
3.3300,0.00141371,-0.09999852,-0.42411292,-0.00088826
3.3400,-0.00282741,-0.09999408,-0.42410664,0.00177652
3.3500,-0.00706829,-0.09996299,-0.42406269,0.00444114
3.3600,-0.01130854,-0.09990526,-0.42398107,0.00710537
3.3700,-0.01554779,-0.09982088,-0.42386179,0.00976896
3.3800,-0.01978565,-0.09970988,-0.42370486,0.01243169
3.3900,-0.02402176,-0.09957225,-0.42351030,0.01509332
3.4000,-0.02825573,-0.09940802,-0.42327811,0.01775360
3.4100,-0.03248720,-0.09921719,-0.42300833,0.02041231
3.4200,-0.03671578,-0.09899978,-0.42270098,0.02306920
3.4300,-0.04094109,-0.09875581,-0.42235608,0.02572405
3.4400,-0.04516277,-0.09848531,-0.42197366,0.02837661
3.4500,-0.04938044,-0.09818829,-0.42155376,0.03102665
3.4600,-0.05359372,-0.09786478,-0.42109641,0.03367393
3.4700,-0.05780224,-0.09751482,-0.42060167,0.03631822
3.4800,-0.06200563,-0.09713843,-0.42006956,0.03895929
3.4900,-0.06620351,-0.09673564,-0.41950013,0.04159689
3.5000,-0.07039551,-0.09630650,-0.41889345,0.04423080
3.5100,-0.07458126,-0.09585104,-0.41824956,0.04686078
3.5200,-0.07876038,-0.09536930,-0.41756851,0.04948660
3.5300,-0.08293250,-0.09486132,-0.41685038,0.05210803
3.5400,-0.08709726,-0.09432716,-0.41609521,0.05472482
3.5500,-0.09125428,-0.09376684,-0.41530309,0.05733676
3.5600,-0.09540320,-0.09318044,-0.41447408,0.05994360
3.5700,-0.09954364,-0.09256799,-0.41360825,0.06254511
3.5800,-0.10367524,-0.09192955,-0.41270568,0.06514108
3.5900,-0.10779763,-0.09126519,-0.41176646,0.06773125
3.6000,-0.11191045,-0.09057495,-0.41079066,0.07031541
3.6100,-0.11601332,-0.08985890,-0.40977836,0.07289332
3.6200,-0.12010590,-0.08911710,-0.40872968,0.07546476
3.6300,-0.12418780,-0.08834963,-0.40764468,0.07802949
3.6400,-0.12825867,-0.08755654,-0.40652348,0.08058730
3.6500,-0.13231815,-0.08673790,-0.40536616,0.08313794
3.6600,-0.13636587,-0.08589380,-0.40417284,0.08568120
3.6700,-0.14040148,-0.08502431,-0.40294362,0.08821685
3.6800,-0.14442462,-0.08412949,-0.40167861,0.09074467
3.6900,-0.14843494,-0.08320944,-0.40037791,0.09326442
3.7000,-0.15243206,-0.08226423,-0.39904166,0.09577589
3.7100,-0.15641565,-0.08129395,-0.39766995,0.09827885
3.7200,-0.16038535,-0.08029868,-0.39626293,0.10077308
3.7300,-0.16434079,-0.07927852,-0.39482070,0.10325837
3.7400,-0.16828164,-0.07823355,-0.39334341,0.10573447
3.7500,-0.17220754,-0.07716386,-0.39183118,0.10820119
3.7600,-0.17611815,-0.07606955,-0.39028414,0.11065830
3.7700,-0.18001311,-0.07495073,-0.38870243,0.11310557
3.7800,-0.18389208,-0.07380748,-0.38708620,0.11554280
3.7900,-0.18775472,-0.07263990,-0.38543558,0.11796977
3.8000,-0.19160068,-0.07144812,-0.38375073,0.12038626
3.8100,-0.19542962,-0.07023222,-0.38203179,0.12279205
3.8200,-0.19924120,-0.06899231,-0.38027892,0.12518694
3.8300,-0.20303509,-0.06772851,-0.37849227,0.12757071
3.8400,-0.20681094,-0.06644093,-0.37667200,0.12994314
3.8500,-0.21056842,-0.06512969,-0.37481827,0.13230404
3.8600,-0.21430719,-0.06379489,-0.37293124,0.13465318
3.8700,-0.21802693,-0.06243667,-0.37101109,0.13699036
3.8800,-0.22172730,-0.06105513,-0.36905799,0.13931537
3.8900,-0.22540798,-0.05965040,-0.36707210,0.14162801
3.9000,-0.22906864,-0.05822261,-0.36505361,0.14392807
3.9100,-0.23270895,-0.05677188,-0.36300269,0.14621534
3.9200,-0.23632858,-0.05529834,-0.36091953,0.14848963
3.9300,-0.23992723,-0.05380213,-0.35880431,0.15075072
3.9400,-0.24350456,-0.05228337,-0.35665722,0.15299843
3.9500,-0.24706027,-0.05074221,-0.35447845,0.15523254
3.9600,-0.25059403,-0.04917877,-0.35226819,0.15745287
3.9700,-0.25410553,-0.04759320,-0.35002664,0.15965921
3.9800,-0.25759446,-0.04598563,-0.34775400,0.16185137
3.9900,-0.26106050,-0.04435622,-0.34545046,0.16402915
4.0000,-0.26450336,-0.04270510,-0.34311625,0.16619236
4.0100,-0.26792273,-0.04103242,-0.34075156,0.16834081
4.0200,-0.27131829,-0.03933833,-0.33835660,0.17047431
4.0300,-0.27468976,-0.03762298,-0.33593158,0.17259267
4.0400,-0.27803683,-0.03588653,-0.33347672,0.17469569
4.0500,-0.28135920,-0.03412912,-0.33099225,0.17678320
4.0600,-0.28465657,-0.03235092,-0.32847837,0.17885500
4.0700,-0.28792867,-0.03055208,-0.32593532,0.18091092
4.0800,-0.29117518,-0.02873275,-0.32336331,0.18295076
4.0900,-0.29439584,-0.02689311,-0.32076258,0.18497436
4.1000,-0.29759034,-0.02503332,-0.31813336,0.18698152
4.1100,-0.30075841,-0.02315354,-0.31547588,0.18897208
4.1200,-0.30389976,-0.02125394,-0.31279038,0.19094585
4.1300,-0.30701412,-0.01933468,-0.31007710,0.19290266
4.1400,-0.31010121,-0.01739594,-0.30733627,0.19484234
4.1500,-0.31316076,-0.01543789,-0.30456814,0.19676471
4.1600,-0.31619249,-0.01346070,-0.30177296,0.19866960
4.1700,-0.31919613,-0.01146456,-0.29895097,0.20055684
4.1800,-0.32217142,-0.00944963,-0.29610243,0.20242627
4.1900,-0.32511809,-0.00741609,-0.29322759,0.20427772
4.2000,-0.32803588,-0.00536413,-0.29032670,0.20611102
4.2100,-0.33092454,-0.00329393,-0.28740002,0.20792602
4.2200,-0.33378380,-0.00120567,-0.28444782,0.20972255
4.2300,-0.33661341,0.00090046,-0.28147035,0.21150044
4.2400,-0.33941312,0.00302427,-0.27846787,0.21325955
4.2500,-0.34218268,0.00516559,-0.27544066,0.21499972
4.2600,-0.34492185,0.00732420,-0.27238899,0.21672079
4.2700,-0.34763038,0.00949994,-0.26931312,0.21842261
4.2800,-0.35030804,0.01169259,-0.26621333,0.22010503
4.2900,-0.35295457,0.01390197,-0.26308989,0.22176790
4.3000,-0.35556976,0.01612788,-0.25994308,0.22341107
4.3100,-0.35815336,0.01837013,-0.25677318,0.22503439
4.3200,-0.36070514,0.02062851,-0.25358048,0.22663773
4.3300,-0.36322489,0.02290282,-0.25036525,0.22822093
4.3400,-0.36571237,0.02519286,-0.24712778,0.22978386
4.3500,-0.36816737,0.02749842,-0.24386836,0.23132638
4.3600,-0.37058967,0.02981932,-0.24058728,0.23284836
4.3700,-0.37297905,0.03215532,-0.23728482,0.23434965
4.3800,-0.37533530,0.03450624,-0.23396129,0.23583012
4.3900,-0.37765820,0.03687186,-0.23061698,0.23728965
4.4000,-0.37994757,0.03925196,-0.22725219,0.23872810
4.4100,-0.38220318,0.04164635,-0.22386720,0.24014534
4.4200,-0.38442484,0.04405480,-0.22046234,0.24154125
4.4300,-0.38661236,0.04647710,-0.21703789,0.24291571
4.4400,-0.38876554,0.04891304,-0.21359416,0.24426859
4.4500,-0.39088418,0.05136240,-0.21013146,0.24559977
4.4600,-0.39296810,0.05382496,-0.20665009,0.24690914
4.4700,-0.39501712,0.05630051,-0.20315037,0.24819658
4.4800,-0.39703105,0.05878882,-0.19963260,0.24946197
